image,idx,x,y,r_disk,radial_mm,otsu_mean,otsu_med,otsu_p75,otsu_p90,ws_mean,ws_med,ws_p75,ws_p90,ws_effect,contrast_sigma,stat_mean,stat_med,stat_p75,stat_p90,gm_mm,gm_bio_mm,gm_w,gm_r2,fusion_source,radial_pre_mm,gt_halo,gt_num
gt_09.jpg,4,481.0,1517.0,43.0,26.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,-12.19,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.78,radial,26.42,23.0,5
gt_09.jpg,5,322.0,971.0,41.0,7.58,0.0,0.0,0.0,0.0,7.58,7.26,8.14,9.03,-1.68,-10.47,9.54,9.54,9.54,9.54,8.16,6.07,15.18,0.88,watershed,16.02,,7
gt_09.jpg,6,309.0,1260.0,41.0,28.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.51,radial,28.66,29.0,6
gt_09.jpg,7,869.0,776.0,39.0,18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-9.13,13.39,13.39,13.39,13.39,14.36,13.76,1.38,0.77,radial,18.08,13.0,1
gt_09.jpg,8,577.0,737.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,-8.77,0.0,0.0,0.0,0.0,0.0,0.0,8.71,0.61,-,0.0,27.0,8
gt_09.jpg,9,1114.0,1363.0,41.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81,-15.53,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.84,radial,31.3,21.0,3
gt_10.jpg,1,1201.0,944.0,37.0,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,radial,23.65,,2
gt_10.jpg,2,757.0,1023.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.07,-,0.0,,9
gt_10.jpg,3,295.0,1102.0,40.0,11.46,11.43,11.36,11.55,11.94,11.46,11.36,11.66,11.95,-1.64,-17.16,11.0,11.0,11.0,11.0,11.43,10.4,2.36,0.78,watershed,13.38,13.0,6
gt_10.jpg,4,991.0,648.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,20.33,0.54,-,0.0,,1
gt_10.jpg,5,374.0,818.0,41.0,31.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-5.35,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.17,radial,31.45,,7
gt_10.jpg,6,914.0,1476.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.24,-,0.0,,4
gt_10.jpg,7,557.0,1397.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,-,0.0,,5
gt_10.jpg,8,1165.0,1285.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2.15,0.0,0.0,0.0,0.0,0.0,0.0,12.38,0.02,-,0.0,,3
gt_10.jpg,9,970.0,1098.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.98,0.0,0.0,0.0,0.0,0.0,0.0,27.96,0.27,-,0.0,,
gt_11.jpg,1,741.0,539.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.02,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.46,-,0.0,,1
gt_11.jpg,2,1181.0,942.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-,0.0,10.0,3
gt_11.jpg,3,689.0,1392.0,43.0,9.18,12.27,12.18,12.83,13.12,9.18,9.77,10.1,10.36,-3.28,-38.09,11.69,11.69,11.69,11.69,11.75,9.55,5.12,0.94,watershed,16.8,10.0,5
gt_11.jpg,4,694.0,966.0,42.0,25.2,7.63,6.42,6.42,9.43,25.2,24.76,25.52,27.38,-1.21,-42.2,27.8,27.8,27.8,27.8,24.4,24.27,0.3,0.69,watershed,0.0,25.0,8
gt_11.jpg,5,1042.0,1286.0,43.0,11.21,11.01,11.23,11.81,12.1,11.21,11.23,11.67,12.09,-2.31,-27.15,10.75,10.75,10.75,10.75,11.28,9.91,3.19,0.88,watershed,13.99,10.0,4
gt_11.jpg,6,393.0,1224.0,42.0,11.63,11.76,11.73,11.95,12.1,11.63,11.66,11.8,12.08,-3.95,-46.28,14.95,14.95,14.95,14.95,11.77,11.04,1.69,0.91,watershed,20.46,11.0,6
gt_11.jpg,7,289.0,944.0,42.0,21.91,15.87,19.52,20.25,20.83,21.91,21.34,22.32,25.78,-1.57,-59.73,25.61,26.89,26.89,26.89,20.41,19.3,2.61,0.76,watershed,30.51,19.0,7
gt_11.jpg,8,1019.0,678.0,42.0,11.05,7.81,6.42,9.8,11.05,0.0,0.0,0.0,0.0,-0.7,-17.2,8.71,8.71,8.71,8.71,14.99,6.11,38.15,0.65,otsu,25.04,18.0,2
gt_11.jpg,9,401.0,657.0,40.0,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.64,radial,23.01,18.0,9
